phrase	entity	value
его минимальный срок составляет один месяц	когда	
его правление продлилось всего два года	когда	
но ведь это молодой , тридцатилетний человек , - шептала	когда	
благодарю за уделенную мне минутку	когда	
благодарю за минуту , которую вы мне уделили	когда	
добрый вечер , где тут у вас ноги вытереть	когда	
завтракать или уже обедать , уж не знаю	когда	
почему вы не пришли на завтрак	когда	
посиди и подожди меня , пока я завтракаю	когда	
ну - с , завтракать , завтракать	когда	
завтрак сейчас принесут	когда	
завтрак готов	когда	
мы принесли тебе завтрак	когда	
а я был женат меньше года	когда	
мой брак длился менее года	когда	
а ведь день начался так славно	когда	
а ведь прошло уже несколько часов	когда	
а теперь оставалось очень мало времени	когда	
болезнь продолжалась всего несколько дней	когда	
более полугода мы не виделись	когда	
более сильно был разрушен город	когда	
более часа длился этот бой	когда	
более года я был сочувствующим	когда	
более четырех часов продолжался бой	когда	
более месяца продолжалось трудное плавание	когда	
более 100 человек было ранено	когда	
более пятнадцати минут продолжалась бомбежка	когда	
более трех часов гремел бой	когда	
призывники , без пяти минут защитники отечества . так закончилась свадьба без пяти минут покойников	когда	
без пяти минут профессор	когда	
без пяти минут министр обороны был бледен	когда	
тогда я герцог без пяти минут	когда	
это заняло три минуты без двух секунд	когда	
без пяти минут мученик	когда	
без десяти минут тристан	когда	
без пяти минут миллионеры	когда	
войне без пяти минут конец	когда	
ты командир , без пяти минут орденоносец	когда	
воронцов мало что без пяти минут депутат	когда	
мой сын без пяти минут гражданин нона	когда	
без пяти минут моряки торгового флота	когда	
она же без трех минут мужняя жена	когда	
без пяти минут полковник и заслуженный герой	когда	
как же , без пяти минут парижанин	когда	
ты ведь без пяти минут дипломированный юрист	когда	
падал без парашюта около трех минут	когда	
его , без пяти минут доктора	когда	
размещение заняло 15 минут без всяких подхалимажей	когда	
ехать минут 4 до отеля без остановок	когда	
размещение без проблем - 15 минут	когда	
ехать 3 часа 45 минут без остановок	когда	
ехали около 5 минут , без пробок	когда	
расселили за 15 минут без проблем	когда	
поезд идет без остановок 5 минут	когда	
водитель минут 15 возился , без результатов	когда	
без остановок езды минут на 15	когда	
без проблем в течении 5 минут приносили	когда	
ехали до отеля минут 4 без остановок	когда	
автобус ходит без проблем каждые 15 минут	когда	
заселились без проблем в течение 5 минут	когда	
дошли сами за 5 минут без проблем	когда	
поселили за 1 минут без всяких проблем	когда	
заселились абсолютно без проблем за 15 минут	когда	
без всякой мзды разместили за 5 минут	когда	
до моря минут 5 и без ступенек	когда	
регистрация заняла 5 минут , без задержек	когда	
без массажа 35 евро 4 минут	когда	
заселили без проблем за 10 минут	когда	
минут 15 езды без остановок	когда	
селят за 3 минуты без вопросов	когда	
до пляжа без волн 5 минут пешком	когда	
границу прошли за 5 минут без проблем	когда	
в пути без пяти минут 4 часа	когда	
время ожидания в афинах получается 8 часов	когда	
дорога к воде занимает более 3 часов	когда	
потусовались лишние 3 часа в аэропорту	когда	
обратный путь в кейптаун занял часов 5	когда	
за 3 часа приехал в аэропорт	когда	
обещанные минут ожидания превратились в 3 часа	когда	
можно уложится в 5 часов экскурсии	когда	
в каждой задерживались минут на 5	когда	
до вылета оставалось в аккурат 3 часа	когда	
процесс захода в воду занимает 5 минут	когда	
все в пределах 5 минут езды	когда	
в шарме ждать 4 часа	когда	
где-то часа 3 сидели в воде	когда	
ничего , что 7 часов в небе	когда	
4 часа в дороге пролетают незаметно	когда	
я послушал экскурсию в течении 5 минут	когда	
к подьемнику 7 минут ходьбы	когда	
следующие 4 часа прошли в непрерывной дороге	когда	
в общем , добирались около 5 часов	когда	
ждать 3 часа после прилета не хочется	когда	
в горку 10 минут тоскливо топать	когда	
вниз до вокзала 8 минут в пути	когда	
в запасе 3 минуты	когда	
9 минут в пути	когда	
переезд в лозанну длился около 40 минут	когда	
полученный пароль действует в течение 4 часов	когда	
в очереди действительно пришлось постоять минут 30	когда	
под джубгой 5 часов простояли в пробке	когда	
время в пути 11 дней 18 часов	когда	
идти в любом направлении минут 15	когда	
в пенише великолепно откатал 4 часа индивидуально	когда	
в итоге доехали за 5 минут	когда	
на границе в очередях провел 5 часов	когда	
итого получается всего 4 часа в городе	когда	
8 часов просидеть в вагоне	когда	
заселение заняло 10 минут после приезда поезда	когда	
автобусы отправляются с интервалом в 30 минут	когда	
ходит с периодичностью в 30 минут	когда	
в общей сложности около 5 минут	когда	
часов в 5 можно уложиться , наверное	когда	
в городе провели 3 часа	когда	
время в пути примерно 4 часа	когда	
был в италии один раз 7 часов	когда	
в пути около 1 часа	когда	
время в пути 1 час 7 минут	когда	
в пути - 4 минут	когда	
1 минут разминка и дальше в путь	когда	
массу подогреть в течение 5 минут	когда	
он продержался в космосе около 5 минут	когда	
в запасе оставалось всего 14 минут	когда	
машина находилась в воздухе 13 минут	когда	
к делу приобщено видеозаписей на 15 часов	когда	
провел в космосе 12 часов	когда	
послеобеденный сон в течение 4 минут	когда	
и тут простоял в заторе минут 4	когда	
скажем , после 5 часов работы	когда	
дежурю по 5 часов в день	когда	
он затонул в течение 16 минут	когда	
он будет работать 3 часа в сутки	когда	
мы работаем по 16 часов в сутки	когда	
будем работать по 3 часа в сутки	когда	
15 - й моторизованный корпус двинулся на радом	когда	
15 - летнего фейсала мы встретили в вифлееме	когда	
15 - летний ирисхан держал в руке ножницы	когда	
15% транспортных емкостей вышло из строя	когда	
15% разосланных сертификатов мы получили обратно	когда	
150 рыбаков дрейфуют на оторвавшейся льдине	когда	
150 чеченских детей сели за парты	когда	
150 работ приняло участие в конкурсе	когда	
150 мальчиков прошли там процедуру обрезания	когда	
15 человек становились народными избранниками дважды	когда	
15 регионов вообще сохранили их натуральными	когда	
15 дней ребята находились в заточении	когда	
15 человек считаются пропавшими без вести	когда	
15 лет он не мог работать	когда	
в общей сложности мятеж продлился 10 часов	когда	
может находиться в воздухе 9 часов	когда	
работали по 11 часов в день	когда	
и двигаться минимум 3 часа в день	когда	
спасатель проводил обследование в течение 35 минут	когда	
поставить в холодильник на 2 - 3 часа	когда	
мы работали по 4 часа в сутки	когда	
чтобы в сутках было 3 часа	когда	
в протокол вносится 5 штрафных минут	когда	
и стал работать 3 часа в сутки	когда	
перерыв в движении составил 17 часов	когда	
артподготовка длилась в течение 8 минут	когда	
ограничение в 3 минуты тут не действует	когда	
до отъезда в аэропорт остается 4 минут	когда	
в воздухе туристы проведут примерно 5 часов	когда	
в целом программа рассчитана на 4 часов	когда	
время в пути - 4 минуты	когда	
люди стояли в очередях по 12 часов	когда	
в его собрании более 8 часов записей	когда	
кабельное телевидение вещает 4 часа в сутки	когда	
она находилась в полете 3 драматические минуты	когда	
их длительность достигает 14 часов в сутки	когда	
огурцы вымачивают 4 часа в холодной воде	когда	
впервые визы оформляются в течение 7 часов	когда	
мы просидели 15 часов в разных камерах	когда	
в течение 17 минут автобус выгорел полностью	когда	
человек работает 5 часов в сутки	когда	
потом снова в духовку на 5 минут	когда	
подержите пальцы в этом составе 15 минут	когда	
после включения они накаливаются 8 минут	когда	
в целом наводнение продолжалось около 10 часов	когда	
генерал занят 4 часа в сутки	когда	
работали по 4 часа в день	когда	
оборудование работает 4 часа в сутки	когда	
время в пути 45 минут	когда	
в итоге трамвай простоял 40 минут	когда	
он может работать 4 часа в сутки	когда	
наш мир активен 4 часа в сутки	когда	
время в пути менее 5 часов	когда	
напряжения в сетях не было 3 минуты	когда	
заниматься придется около 4 часов в неделю	когда	
после 3 часов испытаний выявилась утечка	когда	
после начала высадки прошло больше 3 часов	когда	
весной пашет по 10 часов в сутки	когда	
в городе мы были всего 3 часа	когда	
а я работаю 4 часа в сутки	когда	
они находятся в школе 8 часов	когда	
работаем по 9 часов в сутки	когда	
через 13 минут были в отделе	когда	
прогулка продолжалась в общей сложности 5 минут	когда	
его на 5 минут отправляют в холодильник	когда	
работать по 10 часов в день	когда	
после аварии прошло 6 часов	когда	
нотариус работает по 8 часов в день	когда	
яйца варить 10 минут в подсоленной воде	когда	
работали в две смены по 9 часов	когда	
заживление происходит в течение 4 часов	когда	
зрение обычно восстанавливается в течение 4 часов	когда	
ответ будет выдаваться в течение 4 часов	когда	
время в пути 4 часа	когда	
в час на рекламу отведено 15 минут	когда	
в общей сложности это составит 12 часов	когда	
прошла она в объеме больше 5 минут	когда	
вкалываешь по 4 часа в сутки	когда	
поставьте на 30 минут в холодильник	когда	
работали по 11 часов в сутки	когда	
выпекайте в горячей духовке около 35 минут	когда	
ведь сколиоз формируется 4 часа в сутки	когда	
ориентировочное время в пути - 5 часов	когда	
пожарные приехали через 4 минуты после вызова	когда	
обслуживаются в течение 5 - 7 минут	когда	
расстояние в 30 километров преодолевали два часа	когда	
я работаю по 12 часов в день	когда	
через 12 минут настой вылейте в ванну	когда	
теперь в духовку на 7 минут	когда	
всего 3 часа в неделю	когда	
убийцы хозяйничали в лагерях 5 часов	когда	
все это происходило в течение 10 минут	когда	
поставьте в духовку еще на 16 минут	когда	
после первого делаем паузу около 13 минут	когда	
ведет свои передачи 4 часа в сутки	когда	
работать приходилось по 4 часа в сутки	когда	
желательно спать 4 часа в сутки	когда	
вкалывают теперь по 10 часов в сутки	когда	
в день тренируюсь по 5 - часов	когда	
взрывы прозвучали с интервалом в 10 минут	когда	
литературе отводится всего 4 часа в неделю	когда	
морковь 5 минут варить в подсоленной воде	когда	
информация будет обновляться 4 часа в сутки	когда	
задержанных продержали в отделении милиции 7 часов	когда	
время подлета к району поиска 36 минут	когда	
носить их следует 4 часа в сутки	когда	
веселье продолжалось в общей сложности 13 часов	когда	
я вернулся в агентство через 12 минут	когда	
минут через 14 после этого случилось непоправимое	когда	
тестирование проводится в течение 3 академических часов	когда	
отгрузка ведется - 4 часа в сутки	когда	
в сентябре смена отработала 45 часов	когда	
шестнадцать лет 4 часа в сутки вместе	когда	
работают по 9 часов в день	когда	
мариновать в течение 3 часов	когда	
выпекайте в духовке 18 минут	когда	
лишь после 3 минут тишины последний очнулся	когда	
исследование проходит в течение 37 минут	когда	
не кормите пострадавшего в течение 7 часов	когда	
отдыхайте в такой позе 5 минут	когда	
сплю по 4 часа в сутки	когда	
варить в скороварке 30 - 35 минут	когда	
настаивают в течение 3 часов	когда	
таймы по 30 минут в любую погоду	когда	
после дражирования семена подсушивают - 3 часа	когда	
жизнь бьет ключом 4 часа в сутки	когда	
пожарные прибыли спустя 8 минут после вызова	когда	
в запасе у саперов 4 часа	когда	
следующие 11 минут прошли в изнурительной борьбе	когда	
стало светло как днем	когда	
то же самое с днем победы	когда	
предпочитаю жить одним днем	когда	
1937 год стал для коммуны роковым	когда	
1990 год был для лены легендарным	когда	
1996 год был не просто високосным	когда	
1998 год тоже упускать не следует	когда	
1999 год был закончен с прибылью	когда	
18 человек не определились в выборе	когда	
180 тонн серной кислоты оказались бесхозными	когда	
1800 деревенских ребят живут в общежитии	когда	
17 человек находятся там и сегодня	когда	
этот день и называют днем рождения авиации	когда	
в общем , оставил коллег без обеда	когда	
сам христос меня поздравил с днем рожденья	когда	
я работаю менеджером с ненормированным рабочим днем	когда	
я обязательно поздравлю ее с днем рождения	когда	
день за днем он разрабатывал неподвижную руку	когда	
такой киоск днем с огнем не сыщешь	когда	
носит от своего обеда остатки	когда	
подошло время обеда и финального матча	когда	
хочешь - спи до обеда	когда	
но жить только сегодняшним днем нельзя	когда	
даже с прошедшим днем рождения хором поздравили	когда	
театр жив сегодняшним днем	когда	
свою акцию они назвали днем свободной прессы	когда	
подготовительный этап занял четыре года	когда	
красный день календаря	когда	
выход книги мог задержаться на год	когда	
ждать пришлось полтора месяца	когда	
вся регистрация должна занять 15 минут	когда	
это продолжается около пяти минут	когда	
в компании строго регламентирован рабочий день	когда	
программа рассчитана на два года	когда	
остальные компании получили контракты только на год	когда	
именно он спровадил старый год	когда	
чартеры будут летать всего два месяца	когда	
расследование нарушений энергокомпании заняло более десяти месяцев	когда	
три дня сплошной работы	когда	
выделяется специальный день для заполнения корпоративных отчетов	когда	
самой концепции уже 40 лет	когда	
тяжелая выдалась на планете неделька	когда	
процедура выбора укладывается в пять минут	когда	
вся операция занимает несколько минут	когда	
некоторые ароматы держатся всего три месяца	когда	
покупатели опять все смели за несколько часов	когда	
день разочарований	когда	
сделка года под угрозой	когда	
сто лет успеха	когда	
он обычно составляет семь лет	когда	
шиншилл растили три года	когда	
туристы едут в основном на три дня	когда	
ситуация в стране меняется день ото дня	когда	
сроки варьируются от одного до трех месяцев	когда	
контракт заключен на три года	когда	
первый год комом	когда	
этот год стал поворотным в судьбе боинга	когда	
семь лет лидерства	когда	
после избрания прошел от силы месяц	когда	
ждать оставалось еще минут двадцать	когда	
на планирование уходит до 3 минут	когда	
мощность заводов - шесть кораблей в год	когда	
он занимает примерно 15 месяцев	когда	
к счастью , прогнозы сентября не сбылись	когда	
на обсуждение предложения ушло несколько месяцев	когда	
однако общий результат прошлого года негативный	когда	
эти аппараты выпускались несколько лет	когда	
проект рассчитан на три года	когда	
год прошел	когда	
проект сделали всего за месяц	когда	
около двух месяцев ушло на расчеты	когда	
порой процесс согласования затягивается на несколько месяцев	когда	
там она и пролежала следующие 15 лет	когда	
этому бостонскому институту более ста лет	когда	
проект выполнен за два месяца	когда	
я проработала генеральным директором восемь лет	когда	
до революции осталось два года	когда	
пике длиною два года	когда	
при этом каждый час фиксируется	когда	
август 1998 года научил компьютерщиков многому	когда	
средний возраст студентов - 5 лет	когда	
начало года ознаменовалось резким подорожанием золота	когда	
разработка стратегического плана реорганизации заняла почти год	когда	
спокойного нового года	когда	
фактически " завтрашний день " уже наступил	когда	
срок службы телефона составляет около трех лет	когда	
срок размещения вклада - до полутора лет	когда	
максимальный срок кредита - три месяца	когда	
правда , доходы комбината третий год падают	когда	
увеличенная до пяти лет гарантия	когда	
реорганизация управления у нас продолжится примерно год	когда	
на поиски инвестора ушло больше года	когда	
половины рабочего дня как не бывало	когда	
этакая рекламная интермедия на 15 минут	когда	
сотовый оператор подвел итоги года	когда	
миллионы лет живем мы на нашей планете	когда	
за шесть лет сложилась определенная линия	когда	
за шесть лет ничего особо не изменилось	когда	
месторождение завтрашнего дня	когда	
я потерял чувство реальности на несколько дней	когда	
причина понятна , предвыборный год	когда	
за три года осуществлено четыре эмиссии	когда	
это потрясающий день для британской мясной промышленности	когда	
начнем новый год с заботы о себе	когда	
две недели промелькнули как один день	когда	
он провел в клетке меньше месяца	когда	
время непрерывной работы - до десяти часов	когда	
самым сложным для спикера оказался прошлый год	когда	
очереди за справками растягивались на несколько лет	когда	
словом , работа идет четвертый год	когда	
их просьбу удовлетворили в течение нескольких недель	когда	
сырье - это вчерашний день	когда	
август у нас традиционно месяц кризисов	когда	
через несколько дней погиб зять	когда	
осиротевшая неделя	когда	
по одному на каждый год работы думы	когда	
начало месяца насыщено событиями	когда	
неделя выдалась с конституционным оттенком	когда	
что год грядущий нам готовит	когда	
более десяти лет состоял на военной службе	когда	
но полтора часа я наслаждался музыкой	когда	
финал текущего года отмечен двумя яркими символами	когда	
пока он еще переживает свой звездный час	когда	
подведем итоги безрадостно уходящего года	когда	
и это самый неприятный итог уходящего года	когда	
это был час истины	когда	
уходящий год был удачным для норильского комбината	когда	
нужно уложиться в три месяца	когда	
вот лишь некоторые из примеров прошлого года	когда	
два года стояло ракетное производство	когда	
шесть лет нами управляли упертые недоучки	когда	
этот срок не должен превышать двух месяцев	когда	
на сегодняшний день ситуация такова	когда	
это вылилось в шесть месяцев тюремного заключения	когда	
трудный и бурный третий год эфиопской революции	когда	
в возрасте 83 лет он заболел плевритом	когда	
следы давно минувших дней	когда	
лет десять она провела в качестве жены	когда	
минфин представит основные параметры бюджета на год	когда	
вопрос открыт на протяжении уже полутора лет	когда	
за три года она обзавелась третьим руководителем	когда	
год прошел , словно прошла боль	когда	
приближался праздник октября	когда	
строк действия соглашения - пять лет	когда	
это минимальная цена последних трех недель	когда	
срок обращения облигаций - три месяца	когда	
обсуждение документа длилось более трех часов	когда	
в прошлом году компания уволила 98 сотрудников	когда	
они пробудут в столице три дня	когда	
они падают два месяцев подряд	когда	
индекс снижается уже четвертый день подряд	когда	
производство сокращается уже девятый месяц подряд	когда	
участники рынка отыгрывают падение предыдущих дней	когда	
рост индекса продолжается пятый торговый день подряд	когда	
дивиденды по итогам года не начислялись	когда	
повышение индекса продолжается четвертый торговый день подряд	когда	
срок временного хранения топлива - 5 лет	когда	
тушение пожара длилось около часа	когда	
на этом пленарная неделя закончилась	когда	
встреча продолжалась около часа	когда	
пожар ликвидировали за два часа	когда	
их средний возраст около 7 лет	когда	
объявлены первые нобелевские номинанты года	когда	
здание более полутора лет пустовало	когда	
это убийство оставалось тайной три года	когда	
планируется также утвердить бюджет ассамблеи на год	когда	
начало года будет напряженным	когда	
акции германских компаний дешевели четвертый день подряд	когда	
завод построен за пять месяцев	когда	
санкции введены на год	когда	
заседание продлится два дня	когда	
спецпошлины будут действовать в течение трех лет	когда	
православные отмечают родительскую субботу	когда	
в течение года он оставался внефракционным депутатом	когда	
их показания в суде длились около часов	когда	
вместо этих дней предоставляется дополнительный выходной	когда	
православные отмечают день великомученицы варвары	когда	
выступление замминистра длилось около 15 минут	когда	
история компании насчитывает 89 лет	когда	
на ликвидацию пожара понадобилось менее часа	когда	
радиомост длился час	когда	
симферопольскому аэропорту исполняется 5 лет	когда	
в военной журналистике - 18 лет	когда	
работы должны продлиться несколько недель	когда	
в году предприятие экспортировало 98 автомобилей	когда	
крейсерская скорость - 85 км / час	когда	
фестиваль будет работать в течение двух дней	когда	
британец признан невиновным после 7 лет тюрьмы	когда	
однако , с начала года допущено отставание	когда	
этот процесс займет около полутора лет	когда	
информация обновляется каждые три часа	когда	
продолжительность каждого сеанса - 5 минут	когда	
сооружение монумента займет год	когда	
подобную акцию планируется проводить каждый год	когда	
в повестку дня внесен ряд других вопросов	когда	
поездка продлится несколько часов	когда	
все кредиты выдаются сроком на 3 лет	когда	
встреча длилась два часа вместо запланированного часа	когда	
автобус сгорел в течение часа	когда	
льготный период составляет 3 года	когда	
его спуск занял более девяти часов	когда	
предполагается его построить за три года	когда	
реципиент 6 месяцев ждал донорского сердца	когда	
христиане всего мира отмечают великую пятницу	когда	
правительство одобрило проект государственного бюджета на год	когда	
ранее курс молодого бойца длился месяц	когда	
