phrase	entity	value
продажа была осуществлена в прошлом году	когда	в прошлом году
акции европейских фирм также подешевели во вторник	когда	во вторник
акции японских экспортеров дорожают в понедельник	когда	в понедельник
в пятницу ожидаются официальные данные по безработице	когда	в пятницу
окончательные данные станут известны в течение месяца	когда	в течение месяца
обвал европейского рынка акций в пятницу продолжается	когда	в пятницу
в четверг подорожали акции сетей розничной торговли	когда	в четверг
согласно регламенту , голосование проходит по четвергам	когда	по четвергам
также в пятницу дорожали бумаги банков	когда	в пятницу
ситуация должна проясниться в ближайшие два дня	когда	в ближайшие два дня
через три дня началось обвальное падение рубля	когда	через три дня
принять решение гражданам предстоит до сентября	когда	до сентября
в конце месяца угадавшие разыгрывают телевизор	когда	в конце месяца
стараюсь по воскресеньям не садиться за руль	когда	по воскресеньям
это произошло в середине июня прошлого года	когда	в середине июня прошлого года
минут через пять разразился скандал	когда	минут через пять
через пару часов последовал очередной скандал	когда	через пару часов
в этом году подъема не будет	когда	в этом году
его казнь состоялась на исходе 1985 года	когда	на исходе 1985 года
город был основан более тысячи лет назад	когда	более тысячи лет назад
тридцать лет назад никаких небоскребов не было	когда	тридцать лет назад
три года назад третьяковский район покинули грызуны	когда	три года назад
возможно , это произойдет уже в пятницу	когда	в пятницу
открытие тендера ожидается в начале года	когда	в начале года
эта информация появилась несколько дней назад	когда	несколько дней назад
это ожидается в середине сентября	когда	в середине сентября
она должна пройти в будущем году	когда	в будущем году
официальное открытие фабрики произошло в середине июня	когда	в середине июня
в конце августа оно вышло в свет	когда	в конце августа
запуск системы планируется осуществить в ближайший месяц	когда	в ближайший месяц
начать сражение предполагалось 9 июня	когда	9 июня
аудит должен быть завершен до конца сентября	когда	до конца сентября
в первом полугодии года транспорт не подорожает	когда	в первом полугодии
строительство начнется в середине этого года	когда	в середине этого года
уже к середине дня падение продолжилось	когда	к середине дня
официальное предложение было сделано утром 3 июня	когда	утром 3 июня
весной 1995 года партнеры расстались	когда	весной 1995 года
через год он стал прилежным студентом	когда	через год он
избежать общения с цветочником 8 марта невозможно	когда	8 марта
через 3 дня случился финансовый кризис	когда	через 3 дня
партнеры создали свою компанию полтора года назад	когда	полтора года назад
компаньоны приступили к работе осенью 1999 года	когда	осенью 1999 года
чайная церемония по пятницам	когда	по пятницам
в течение года и летом проводятся факультативы	когда	в течение года и летом
с сентября по февраль стороны вели переговоры	когда	с сентября по февраль
через девять лет он ушел в отставку	когда	через девять лет
через двадцать три минуты полета раздался взрыв	когда	через двадцать три минуты полета
рассмотрение проекта отложено на начало будущего года	когда	на начало будущего года
подобное уже случалось несколько лет назад	когда	несколько лет назад
через год все может измениться	когда	через год
хуже всего ситуация сложилась к концу года	когда	к концу года
три года спустя твид скончался в тюрьме	когда	три года спустя
повторный опрос проведен в начале этого года	когда	в начале этого года
сама компания была создана спустя год	когда	спустя год
беспорядки удалось ликвидировать только через несколько дней	когда	только через несколько дней
понедельник прогнозируется в субботу	когда	в субботу
мне становится скучно на второй день	когда	на второй день
сделка готовилась с прошлого года	когда	с прошлого года
наш поезд отправляется каждый вторник	когда	каждый вторник
в конце октября германия капитулировала	когда	в конце октября
ситуация кардинально изменилась в прошлом году	когда	в прошлом году
строительные работы планируется завершить к апрелю	когда	к апрелю
в минувшем году банк работал чрезвычайно напряженно	когда	в минувшем году
с сентября на винзаводе не прекращались проверки	когда	с сентября
они собирались каждый месяц	когда	каждый месяц
в конце этого года появится шестая серия	когда	в конце этого года
переговоры велись с сентября прошлого года	когда	с сентября прошлого года
к сентябрю 1998 года финансирование фактически прекратилось	когда	к сентябрю 1998 года
продажи автомобиля начнутся в этом году	когда	в этом году
вторая ошибка была совершена летом 1998 года	когда	летом 1998 года
к концу года откроются две из них	когда	к концу года
мы ведем переговоры с клиентами каждый день	когда	каждый день
ситуация стабилизировалась в конце прошлого года	когда	в конце прошлого года
с нового года они станут музейными экспонатами	когда	с нового года
опровержения последуют лишь в понедельник	когда	в понедельник
этот прогноз сбылся через два месяца	когда	через два месяца
запуск планировался еще в прошлом году	когда	в прошлом году
до февраля все шло как по нотам	когда	до февраля
через два часа у нас презентация "	когда	через два часа
через минут пятнадцать я его встретил снова	когда	через минут пятнадцать
причем такое соотношение сохраняется последние четыре года	когда	последние четыре года
но через месяц все можно повторить сначала	когда	через месяц
но 15 лет назад ситуация резко изменилась	когда	15 лет назад
мне сегодня стало жаль человека	когда	сегодня
настеньке , внученьке сегодня 3 годика	когда	сегодня
крис прости я не смогу сегодня	когда	сегодня
вот , утром размечталась	когда	утром
сегодня ночью умер винничук павел иванович	когда	сегодня ночью
сегодня соглашение подписано не будет	когда	сегодня
ситуация сегодня обстоит именно таким образом	когда	сегодня
сегодня у нас состоялись длительные обсуждения	когда	сегодня
сегодня мы сделали это	когда	сегодня
сегодня произошло несколько крупных встреч	когда	сегодня
я уже беседовал с ней сегодня вечером	когда	сегодня вечером
такова ситуация на сегодня	когда	на сегодня
уже завтра утром они начнут эту работу	когда	завтра утром
как раз этим я занимался сегодня утром	когда	сегодня утром
я беседовал с ним сегодня днем	когда	сегодня днем
вот о чем мне хотелось объявить сегодня	когда	сегодня
сегодня вечером соединенные штаты делают именно это	когда	сегодня вечером
сегодня это стало ясно	когда	сегодня
как много вас собралось здесь сегодня	когда	сегодня
президент , сегодня я возвращаюсь на переговоры	когда	сегодня
встреча должна состояться в понедельник вечером	когда	в понедельник вечером
сегодня правительство воспользовалось указанным правом	когда	сегодня
именно это решение предлагают сегодня сторонники компромисса	когда	сегодня
сегодня перемещение возобновится	когда	сегодня
именно такая вера нужна нам сегодня	когда	сегодня
сегодня ситуация , кажется , чуть успокоилась	когда	сегодня
он может сделать это хоть завтра	когда	завтра
я еще раз сказал об этом сегодня	когда	сегодня
тоже самое будет завтра	когда	завтра
сегодня вы помогаете вновь переломить эту тенденцию	когда	сегодня
вечером того же дня склад был взломан	когда	вечером того же дня
сегодня идет процесс формирования нашего бюджета	когда	сегодня
так что сегодня замечательный день	когда	сегодня
об этих будущих изменениях необходимо думать сегодня	когда	сегодня
для меня большая честь находиться здесь сегодня	когда	сегодня
сегодня я изложил философию нашего трансатлантического сообщества	когда	сегодня
сегодня мы не видим военных на улице	когда	сегодня
вечером здесь же состоится эстрадный концерт	когда	вечером
находка была сделана в четверг вечером	когда	в четверг вечером
торги завершились поздно вечером во вторник	когда	вечером во вторник
после обеда все участники соберутся около ратуши	когда	после обеда
детей нашли только во вторник утром	когда	во вторник утром
утром в зале зарегистрировались 54 депутата	когда	утром в зале
утром горячее водоснабжение восстановлено	когда	утром
бои продолжались днем в субботу	когда	днем в субботу
огонь был потушен в понедельник вечером	когда	в понедельник вечером
возвращение премьера ожидается вечером во вторник	когда	вечером во вторник
полностью ее планируется завершить сегодня - завтра	когда	сегодня - завтра
авария произошла поздно вечером во вторник	когда	вечером во вторник
авария произошла во вторник утром	когда	во вторник утром
разлив топлива обнаружен в среду утром	когда	в среду утром
в четверг утром суд продолжит заседание	когда	в четверг утром
огонь был локализован в воскресенье вечером	когда	в воскресенье вечером
сегодня отмечается крещение господне	когда	
они также прибыли сегодня в царское село	когда	сегодня
сегодня работает около 15	когда	сегодня
сегодня их состояние удовлетворительное	когда	сегодня
на предприятии сегодня сложилась сложная финансовая ситуация	когда	сегодня
остальные могут присоединиться к забастовке завтра	когда	завтра
затем вечером состоится церемония награждения победителя	когда	вечером
сегодня это обращение будет направлено президенту	когда	сегодня
уже сегодня известны возможные соперники киевлян	когда	сегодня
авария ликвидирована в воскресенье вечером	когда	в воскресенье вечером
это произошло в понедельник рано утром	когда	в понедельник рано утром
официальная часть визита начнется во вторник утром	когда	во вторник утром
авария произошла в пятницу вечером	когда	в пятницу вечером
похороны погибших шахтеров пройдут днем во вторник	когда	днем во вторник
сегодня аварийная зона заполняется инертным газом	когда	сегодня
авария произошла рано утром во вторник	когда	рано утром во вторник
указ об этом подписан в понедельник вечером	когда	в понедельник вечером
после обеда универмаг снова приступил к работе	когда	после обеда
вечером в городе состоится праздничный фейерверк	когда	вечером
вечером 4 декабря - сочельник	когда	вечером 4 декабря
погода днем солнечная , местами небольшой ветер	когда	днем
перед судом сегодня предстанут 5 из них	когда	сегодня
инцидент произошел рано утром во вторник	когда	рано утром во вторник
после обеда пройдут секционные заседания	когда	после обеда
очередное выдвижение кандидатур прошло вечером в среду	когда	вечером в среду
окончательные результаты будут известны в понедельник утром	когда	в понедельник утром
наиболее сильные порывы наблюдались вечером 5 марта	когда	вечером 5 марта
поздно вечером электроснабжение шахты было восстановлено полностью	когда	поздно вечером
утром 7 декабря он отбудет на родину	когда	утром 7 декабря
льдина откололась от берега в понедельник вечером	когда	в понедельник вечером
вечером в понедельник мэр вернется в столицу	когда	вечером в понедельник
авария произошла поздно вечером в субботу	когда	поздно вечером в субботу
вечером состоится праздничный фейерверк	когда	вечером
первое недомогание президент почувствовал в четверг утром	когда	в четверг утром
решение будет обнародовано утром в среду	когда	утром в среду
его прибытие ожидается поздним вечером	когда	поздним вечером
днем пожар удалось ликвидировать	когда	днем
сегодня этого не случилось	когда	сегодня
последствия аварии ликвидированы ранним утром в воскресенье	когда	ранним утром в воскресенье
подъем автобуса будет производиться утром в понедельник	когда	утром в понедельник
планируется , что голосование пройдет уже сегодня	когда	сегодня
утром в парламенте состоялась первая попытка голосования	когда	утром
утром в воскресенье подача газа восстановлена	когда	утром в воскресенье
после обеда депутаты продолжат работу в комиссиях	когда	после обеда
вечером в воскресенье началась страстная неделя	когда	вечером в воскресенье
вечером его удалось локализовать	когда	вечером
рано утром вытекание газа прекращено	когда	рано утром
сегодня мы провели небольшую репетицию	когда	сегодня
вы сегодня немного поговорили , немного поругались	когда	сегодня
вы ее оставили и пришли сегодня сюда	когда	сегодня
котировки европейских акций в четверг утром падали	когда	в четверг утром
акции европейских банков в пятницу утром дорожали	когда	в пятницу утром
европейские фондовые индексы в четверг утром снизились	когда	в четверг утром
европейские фондовые индексы в четверг утром упали	когда	в четверг утром
европейские акции во вторник утром дешевели	когда	во вторник утром
европейские фондовые индексы в среду утром падали	когда	в среду утром
цены российских акций утром в среду снижались	когда	утром в среду
акции европейских компаний в четверг утром дорожали	когда	в четверг утром
европейские фондовые индексы в четверг утром выросли	когда	в четверг утром
акции европейских компаний во вторник утром подешевели	когда	во вторник утром
европейские фондовые индексы в понедельник утром упали	когда	в понедельник утром
акции европейских компаний во вторник утром дорожали	когда	во вторник утром
европейские фондовые индексы в среду утром снижались	когда	в среду утром
европейские фондовые индексы в четверг утром росли	когда	в четверг утром
европейские акции во вторник утром дорожали	когда	во вторник утром
котировки европейских компаний в четверг утром выросли	когда	в четверг утром
европейские страховые акции в среду утром дешевели	когда	в среду утром
европейские фондовые индексы во вторник утром снижались	когда	во вторник утром
европейские фондовые индексы в среду утром упали	когда	в среду утром
акции европейских автопроизводителей в пятницу утром подорожали	когда	в пятницу утром
европейские фондовые индексы в пятницу днем падали	когда	в пятницу днем
однако сегодня эти шаги выглядят вполне резонными	когда	сегодня
именно оно господствует сегодня на мировых экранах	когда	сегодня
повод оглянуться назад появился уже сегодня	когда	сегодня
такой здравый подход особенно актуален сегодня	когда	сегодня
на перепутье пребывает сегодня самарское двигателестроение	когда	сегодня
эти цели остаются насущными и сегодня	когда	сегодня
сегодня он отвечает на наши вопросы	когда	сегодня
будущее начинается уже сегодня	когда	сегодня
сегодня в читинской области внешне спокойно	когда	сегодня
после обеда я опять работаю	когда	после обеда
хотя уже сегодня все операции банка компьютеризированы	когда	сегодня
в индии чай подают утром в постель	когда	утром
хороших сценариев сегодня очень мало	когда	сегодня
настоящих дизайнеров , творцов сегодня очень мало	когда	сегодня
что делать вечером	когда	вечером
да потому что сегодня возможно все	когда	сегодня
сегодня праздник - международный день защиты детей	когда	сегодня
принимать душ утром и вечером	когда	утром и вечером
однажды поздно вечером раздался очередной звонок	когда	поздно вечером
я сегодня без тачки	когда	сегодня
вечером заеду	когда	вечером
утром в понедельник женщине захотелось выпить	когда	утром в понедельник
не проводил вечером	когда	вечером
поздно вечером на ордынке я увидел парочку	когда	поздно вечером
утром дают кофе с молоком и сахаром	когда	утром
что ж , завтра начнется новая жизнь	когда	завтра
вечером у костра завершился конкурс художественной самодеятельности	когда	вечером
можно утром пройти по росе	когда	утром
завтра - международный день пожилых людей	когда	завтра
его лучше нанести вечером	когда	вечером
дело было вечером , делать было нечего	когда	дело
часть их потоков там обслуживается и сегодня	когда	сегодня
официальное предложение было сделано утром 3 июня	когда	утром 3 июня
особенно сегодня , когда все это делают	когда	сегодня
после обеда занятия возобновляются	когда	после обеда
вечером откапывают , разделывают , едят	когда	вечером
завтра на работу	когда	завтра
это случилось вечером в минувшую среду	когда	вечером в минувшую среду
есть утром натощак по полстакана отвара	когда	утром
трагедия произошла утром 8 октября	когда	утром 8 октября
вызов с заповедной улицы поступил поздно вечером	когда	поздно вечером
это произошло в минувшую субботу рано утром	когда	в минувшую субботу рано утром
вечером к бункеру я больше не выходил	когда	вечером
утром казалось , погода благоприятствовала нашей дерзости	когда	утром
днем - традиционное чаепитие	когда	днем
гадюки любят днем погреться на солнышке	когда	днем
завтра один из великих праздников православной церкви	когда	завтра
это случилось рано утром	когда	рано утром
витамины пить утром , после завтрака	когда	утром , после завтрака
школа в отрадном сегодня арестована	когда	сегодня
подготовка других выставок ведется уже сегодня	когда	сегодня
мне завтра будет нужна курица	когда	завтра
испытанный комплект уедет сегодня	когда	сегодня
а то днем опять слепни закусают "	когда	днем
завтра зенит сыграет с московским динамо	когда	завтра
вечером - праздничный фейерверк	когда	вечером
утром я торопилась и ничего не записала	когда	утром
малыша обнаружили утром случайные прохожие	когда	утром
народ стал расходиться лишь поздно вечером	когда	поздно вечером
завтра у нас снова высокий гость	когда	завтра
поздно вечером еду с работы	когда	поздно вечером
это произошло в минувшую субботу вечером	когда	в минувшую субботу вечером
утром выкурил последнюю сигарету	когда	утром
утром вдыхаю свежий воздух полной грудью	когда	утром
вечером - юбилейные спектакли	когда	вечером
пожар случился вечером	когда	вечером
завтра вставать ни свет ни заря	когда	завтра
дощатая конструкция сегодня держится на честном слове	когда	сегодня
возможности ультразвукового исследования сегодня очень обширны	когда	сегодня
поезд пришел рано утром	когда	рано утром
приемы нынешних воров сегодня не слишком изысканны	когда	сегодня
но подготовка идет уже сегодня	когда	сегодня
сегодня музыка вернулась в парк	когда	сегодня
замурованного обнаружили утром	когда	утром
подработать сегодня хотят многие старшеклассники и студенты	когда	сегодня
просто сегодня мне пить придется	когда	сегодня
копать днем стало невозможно	когда	днем
а она должна появиться сегодня вечером	когда	сегодня вечером
тем не менее сегодня решение практически принято	когда	сегодня
а утром в войсковую больницу привезли убитых	когда	утром
а завтра они вернутся на войну	когда	завтра
просто вчера вечером наплакалась по пустякам	когда	вчера вечером
здорово ощутить вечером усталость после многокилометрового марша	когда	вечером
вечером - олимпиады , очередные туры марафона	когда	вечером
утром убежит	когда	утром
завтра их раздадут очередным выразителям народного стона	когда	завтра
следующим вечером мы катались на яхте	когда	следующим вечером
уже завтра узнаете	когда	завтра
вечером - на работу	когда	вечером
сегодня день скорби и радости	когда	сегодня
утром - школа	когда	утром
после обеда налегают на правила дорожного движения	когда	после обеда
рано утром состоялись сбор и регистрация команд	когда	рано утром
ее сиделка сегодня заболела	когда	сегодня
ранним утром привокзальная площадь овеяна романтической дымкой	когда	ранним утром
утром уже все готово к сдаче смены	когда	утром
только утром вам вряд ли кто позавидует	когда	утром
а вечером прикатила братва на джипах	когда	вечером
сегодня - день смеха	когда	сегодня
это случилось вечером 1 мая	когда	вечером 1 мая
начался он в пятницу вечером	когда	в пятницу вечером
вечером с соседским мальчишкой катался на велосипеде	когда	вечером
в мебельных магазинах сегодня огромный выбор матрасов	когда	сегодня
надеемся хоть завтра уехать	когда	завтра
вчера вечером экспедиция должна была вернуться домой	когда	вчера вечером
похороны мичмана полянского назначены на завтра	когда	на завтра
вечером в воскресенье делегация вылетит на родину	когда	вечером в воскресенье
наибольшая концентрация пыльцы в воздухе - утром	когда	утром
утром связался с родственниками умерших	когда	утром
очередная авария произошла вчера рано утром	когда	вчера рано утром
в среду вечером состоялась тренировочная внутрикомандная игра	когда	в среду вечером
завтра гости отправляются домой	когда	завтра
завтра кубанцы нетвердой рукою сдвинут бокалы	когда	завтра
станичники обнаружили обгоревший труп ранним утром	когда	ранним утром
в пятницу вечером это привело к трагедии	когда	в пятницу вечером
решила , отнесу утром к поликлинике	когда	утром
дело было ранним утром минувшего четверга	когда	ранним утром минувшего четверга
собаку утром выгуливает теща	когда	утром
а ей послезавтра исполняется девятнадцать	когда	послезавтра
выезжаем утром с круглосуточной стоянки	когда	утром
завтра - последний день отправки раскрасок	когда	завтра
и однажды утром машину засекли	когда	однажды утром
аварии чаще происходят утром и вечером	когда	утром и вечером
кто станцует завтра для краснодарцев	когда	завтра
в милицию родственники обратились утром	когда	утром
завтра я деньги привезу	когда	завтра
утром в воскресенье погорельцем стал анапский район	когда	утром в воскресенье
погасили огонь уже поздно вечером	когда	поздно вечером
хватит вам времени для полива и днем	когда	днем
днем шестнадцать - восемнадцать мороза	когда	днем
десятого января днем на пару градусов потеплеет	когда	десятого января днем
например , поздно вечером или утром	когда	поздно вечером или утром
утром следующего дня он скончался	когда	утром следующего дня
еще накануне вечером она собиралась жить	когда	накануне вечером
а в продаже диски появятся уже завтра	когда	завтра
утром стали известны итоги выборов	когда	утром
утром проблемные места почистить пемзой	когда	утром
